"id","state_id","nombre","created_at","updated_at"
1,1,Alto Orinoco,,
2,1,Atabapo,,
3,1,Atures,,
4,1,Autana,,
5,1,Manapiare,,
6,1,Maroa,,
7,1,Río Negro,,
8,2,Anaco,,
9,2,Aragua,,
10,2,Bolívar,,
11,2,Bruzual,,
12,2,Cajigal,,
13,2,Carvajal,,
14,2,Diego Bautista Urbaneja,,
15,2,Freites,,
16,2,Guanipa,,
17,2,Guanta,,
18,2,Independencia,,
19,2,Libertad,,
20,2,McGregor,,
21,2,Miranda,,
22,2,Monagas,,
23,2,Peñalver,,
24,2,Píritu,,
25,2,San Juan de Capistrano,,
26,2,Santa Ana,,
27,2,Simón Rodríguez,,
28,2,Sotillo,,
29,3,Achaguas,,
30,3,Biruaca,,
31,3,Muñoz,,
32,3,Páez,,
33,3,Pedro Camejo,,
34,3,Rómulo Gallegos,,
35,3,San Fernando,,
36,4,Bolívar,,
37,4,Camatagua,,
38,4,Francisco Linares Alcántara,,
39,4,Girardot,,
40,4,José Ángel Lamas,,
41,4,José Félix Ribas,,
42,4,José Rafael Revenga,,
43,4,Libertador,,
44,4,Mario Briceño Iragorry,,
45,4,Ocumare de la Costa de Oro,,
46,4,San Casimiro,,
47,4,San Sebastián,,
48,4,Santiago Mariño,,
49,4,Santos Michelena,,
50,4,Sucre,,
51,4,Tovar,,
52,4,Urdaneta,,
53,4,Zamora,,
54,5,Alberto Arvelo Torrealba,,
55,5,Andrés Eloy Blanco,,
56,5,Antonio José de Sucre,,
57,5,Arismendi,,
58,5,Barinas,,
59,5,Bolívar,,
60,5,Cruz Paredes,,
61,5,Ezequiel Zamora,,
62,5,Obispos,,
63,5,Pedraza,,
64,5,Rojas,,
65,5,Sosa,,
66,6,Angostura,,
67,6,Caroní,,
68,6,Cedeño,,
69,6,El Callao,,
70,6,Gran Sabana,,
71,6,Heres,,
72,6,Píar,,
73,6,Roscio,,
74,6,Sifontes,,
75,6,Sucre,,
76,6,Padre Pedro Chien,,
77,7,Bejuma,,
78,7,Carlos Arvelo,,
79,7,Diego Ibarra,,
80,7,Guacara,,
81,7,Mora,,
82,7,Libertador,,
83,7,Los Guayos,,
84,7,Miranda,,
85,7,Montalbán,,
86,7,Naguanagua,,
87,7,Puerto Cabello,,
88,7,San Diego,,
89,7,San Joaquín,,
90,7,Valencia,,
91,8,Anzoátegui,,
92,8,Tinaquillo,,
93,8,Girardot,,
94,8,Lima Blanco,,
95,8,Pao de San Juan Bautista,,
96,8,Ricaurte,,
97,8,Rómulo Gallegos,,
98,8,San Carlos,,
99,8,Tinaco,,
100,9,Antonio Díaz,,
101,9,Casacoima,,
102,9,Pedernales,,
103,9,Tucupita,,
104,10,Acosta,,
105,10,Bolívar,,
106,10,Buchivacoa,,
107,10,Carirubana,,
108,10,Colina,,
109,10,Dabajuro,,
110,10,Democracia,,
111,10,Falcón,,
112,10,Federación,,
113,10,Jacura,,
114,10,Los Taques,,
115,10,Manaure,,
116,10,Mauroa,,
117,10,Miranda,,
118,10,Monseñor Iturriza,,
119,10,Palmasola,,
120,10,Petit,,
121,10,Píritu,,
122,10,San Francisco,,
123,10,Sucre,,
124,10,Silva,,
125,10,Tocópero,,
126,10,Unión,,
127,10,Urumaco,,
128,10,Zamora,,
129,11,Camaguán,,
130,11,Chaguaramas,,
131,11,El Socorro,,
132,11,Infante,,
133,11,Las Mercedes,,
134,11,Mellado,,
135,11,Miranda,,
136,11,Monagas,,
137,11,Ortiz,,
138,11,Ribas,,
139,11,Roscio,,
140,11,San Gerónimo de Guayabal,,
141,11,San José de Guaribe,,
142,11,Santa María de Ipire,,
143,11,Zaraza,,
144,12,Andrés Eloy Blanco,,
145,12,Crespo,,
146,12,Iribarren,,
147,12,Jiménez,,
148,12,Morán,,
149,12,Palavecino,,
150,12,Simón Planas,,
151,12,Torres,,
152,12,Urdaneta,,
153,13,Alberto Adriani,,
154,13,Andrés Bello,,
155,13,Antonio Pinto Salinas,,
156,13,Aricagua,,
157,13,Arzobispo Chacón,,
158,13,Campo Elías,,
